t,rf
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,0.0
40.0,0.0
45.0,0.0
50.0,0.0
55.0,0.0
60.0,0.0
65.0,0.0
70.0,0.0
75.0,0.0
80.0,0.0
85.0,0.0
90.0,0.0
95.0,0.0
100.0,0.0
105.0,0.0
110.0,0.0
115.0,0.0
120.0,0.0
125.0,0.0
130.0,7.076789259029931e-10
135.0,6.452270522708156e-08
140.0,4.1347417154826833e-07
145.0,1.5622216703924559e-06
150.0,4.270290724303349e-06
155.0,8.744998548848123e-06
160.0,1.410815464914594e-05
165.0,1.931372562939019e-05
170.0,2.4201686790900325e-05
175.0,2.872491822251298e-05
180.0,3.307486457320762e-05
185.0,3.72314355612143e-05
190.0,4.152745559598441e-05
195.0,4.5231194107867517e-05
200.0,4.795563897599494e-05
205.0,5.077844749961121e-05
210.0,5.290964075990979e-05
215.0,5.4219859080039626e-05
220.0,5.463541618819101e-05
225.0,5.024519841804495e-05
230.0,4.760324024766959e-05
235.0,4.5614307085114255e-05
240.0,4.274808549136841e-05
245.0,3.9984400133189124e-05
250.0,3.7484851841900446e-05
255.0,3.507531165077977e-05
260.0,3.480781563412514e-05
265.0,3.907302570787923e-05
270.0,4.259727433246547e-05
275.0,4.498824256278437e-05
280.0,4.643250408236042e-05
285.0,4.605697796329935e-05
290.0,4.522530030743249e-05
295.0,4.4379285468649414e-05
300.0,4.3642970296795994e-05
305.0,4.409289429516227e-05
310.0,4.409876591193715e-05
315.0,4.354663129167771e-05
320.0,4.278431618216304e-05
325.0,4.16098816085025e-05
330.0,4.0123427314618465e-05
335.0,3.853966209858042e-05
340.0,3.653056544631559e-05
345.0,3.490663141854677e-05
350.0,3.325910292315035e-05
355.0,3.193083174165068e-05
360.0,3.02647923941766e-05
365.0,2.747720762037477e-05
370.0,2.4981751055216432e-05
375.0,2.18818095368296e-05
380.0,1.905273372409024e-05
385.0,1.7809669772296373e-05
390.0,1.6995481694778736e-05
395.0,1.622781838688425e-05
400.0,1.5452507436970698e-05
405.0,1.4600816731414754e-05
410.0,1.3163802650075747e-05
415.0,1.2778447162385855e-05
420.0,1.2563977564856598e-05
425.0,1.264718586845062e-05
430.0,1.304906554818092e-05
435.0,1.3884946633234746e-05
440.0,1.4770993308614115e-05
445.0,1.5032543278386057e-05
450.0,1.4980053421971473e-05
455.0,1.094563743190218e-05
460.0,5.189067326165506e-06
465.0,3.052294395163804e-06
470.0,4.792355620742834e-06
475.0,5.707202677847787e-06
480.0,6.338645978017039e-06
485.0,7.160203387440862e-06
490.0,8.194509895302e-06
495.0,9.430318126224975e-06
500.0,1.0829136302011011e-05
505.0,1.2449324371376251e-05
510.0,1.4251595870418967e-05
515.0,1.6235828899502293e-05
520.0,1.8351391499607538e-05
525.0,2.0561117544075132e-05
530.0,2.2786545936375552e-05
535.0,2.4942739417722346e-05
540.0,2.6951453804707306e-05
545.0,2.8669973584351955e-05
550.0,3.064564488949989e-05
555.0,3.285802879950203e-05
560.0,3.411037974055433e-05
565.0,3.355915536362645e-05
570.0,3.4793745272185305e-05
575.0,3.933818409258543e-05
580.0,4.299454074996162e-05
585.0,4.5774424681454065e-05
590.0,4.812002961875065e-05
595.0,5.049301170649993e-05
600.0,5.040962447580182e-05
605.0,4.4932027851907435e-05
610.0,3.8267696235069155e-05
615.0,3.24143032991483e-05
620.0,3.015215363694784e-05
625.0,3.5089726714906577e-05
630.0,4.1024110450648314e-05
635.0,4.506546252475299e-05
640.0,4.87931572959837e-05
645.0,5.234229680085071e-05
650.0,5.372381580193847e-05
655.0,4.874004664819723e-05
660.0,4.732781093725705e-05
665.0,5.4302062336582696e-05
670.0,5.662657365689316e-05
675.0,5.095797772832722e-05
680.0,4.9442058127805065e-05
685.0,5.477977103421529e-05
690.0,6.004237975896915e-05
695.0,6.525041550815044e-05
700.0,6.999388154528281e-05
705.0,7.491498915478813e-05
710.0,7.98917673583291e-05
715.0,8.468819295972395e-05
720.0,8.974428796045632e-05
725.0,9.464997150474763e-05
730.0,9.985409018571627e-05
735.0,0.0001054224766067175
740.0,0.000111131218457303
745.0,0.00011629793777775297
750.0,0.00012062090221397152
755.0,0.00012501330061926176
760.0,0.00012895406482391108
765.0,0.00012963218809862275
770.0,0.00012445731900050536
775.0,0.00011131702911428197
780.0,8.462354584436873e-05
785.0,6.703563905202596e-05
790.0,7.506847331282926e-05
795.0,8.239290611247126e-05
800.0,8.123256060994379e-05
805.0,8.025095678452388e-05
810.0,7.941169744463571e-05
815.0,7.905450390454097e-05
820.0,7.893099593672562e-05
825.0,7.848840894857489e-05
830.0,7.788309275646307e-05
835.0,7.727990357523365e-05
840.0,7.684171485017572e-05
845.0,7.634052499568765e-05
850.0,7.561300695371444e-05
855.0,7.682186390233132e-05
860.0,7.959814693990625e-05
865.0,8.14642649320909e-05
870.0,8.249458489928099e-05
875.0,8.274569630111511e-05
880.0,8.265194321020679e-05
885.0,8.182248140417793e-05
890.0,7.992816357496055e-05
895.0,7.770920406683721e-05
900.0,7.535228408101653e-05
905.0,7.258183435049106e-05
910.0,6.956461216997517e-05
915.0,6.75051319038473e-05
920.0,6.639721464350605e-05
925.0,6.488558468715912e-05
930.0,6.280830537257758e-05
935.0,6.004384752090021e-05
940.0,5.701922323282971e-05
945.0,5.400760848367973e-05
950.0,5.1114971156471476e-05
955.0,4.8311104390333575e-05
960.0,4.5650458292337055e-05
965.0,4.325105767404961e-05
970.0,4.078739185329906e-05
975.0,3.909997587271721e-05
980.0,3.8199052349590454e-05
985.0,3.700012572264994e-05
990.0,3.5990881144291896e-05
995.0,3.4979082206038165e-05
1000.0,3.389904731903563e-05
1005.0,3.2422801050655166e-05
1010.0,3.0258499836577683e-05
1015.0,2.8069782697999744e-05
1020.0,2.5668498318475343e-05
1025.0,2.3200096691531228e-05
1030.0,2.0698415109256384e-05
1035.0,1.875062813554847e-05
1040.0,1.7471829902221793e-05
1045.0,1.6287125299312394e-05
1050.0,1.4970710673820801e-05
1055.0,1.3615135838584288e-05
1060.0,1.2608348394136286e-05
1065.0,1.1561581120153805e-05
1070.0,9.73442315047593e-06
1075.0,7.839814318326839e-06
1080.0,6.405347683931468e-06
1085.0,5.152877738235717e-06
1090.0,4.188160847923741e-06
1095.0,3.1618849808012355e-06
1100.0,2.759991818465187e-06
1105.0,2.199591260101884e-06
1110.0,1.9043809178679613e-06
1115.0,1.9538911591721424e-06
1120.0,1.8394877920741847e-06
1125.0,1.29980054492515e-06
1130.0,8.877033591049055e-07
1135.0,7.544354751164889e-07
1140.0,7.633842727005934e-07
1145.0,9.800063485516972e-07
1150.0,1.853792681904446e-06
1155.0,2.621229728886534e-06
1160.0,2.8209083688031798e-06
1165.0,2.5907168885165824e-06
1170.0,2.6420656514404682e-06
1175.0,3.43268463435731e-06
1180.0,4.0743198413949016e-06
1185.0,4.273723663202804e-06
1190.0,4.607252919275298e-06
1195.0,4.816416953545987e-06
1200.0,4.875607156362128e-06
1205.0,4.254667242089128e-06
1210.0,3.1055692302393227e-06
1215.0,2.9217003603699733e-06
1220.0,2.8894586628494375e-06
1225.0,8.156184817048976e-08
1230.0,8.396816452202535e-08
1235.0,1.0045290932950608e-07
1240.0,1.153028794459553e-07
1245.0,1.4202666668666336e-07
1250.0,1.4817844909595722e-07
1255.0,1.0609003149209025e-07
1260.0,5.567995371978141e-08
1265.0,0.0
1270.0,0.0
1275.0,0.0
1280.0,0.0
1285.0,0.0
1290.0,0.0
1295.0,0.0
1300.0,0.0
1305.0,0.0
1310.0,0.0
1315.0,0.0
1320.0,0.0
1325.0,0.0
1330.0,0.0
1335.0,0.0
1340.0,0.0
1345.0,0.0
1350.0,0.0
1355.0,0.0
1360.0,0.0
1365.0,0.0
1370.0,0.0
1375.0,0.0
1380.0,0.0
1385.0,0.0
1390.0,0.0
1395.0,0.0
1400.0,0.0
1405.0,0.0
1410.0,0.0
1415.0,0.0
1420.0,0.0
1425.0,0.0
1430.0,0.0
1435.0,0.0
1440.0,0.0
1445.0,0.0
1450.0,0.0
1455.0,0.0
